modelo,fabricacao,quantidade,quantidade_total
T-CROSS 1.0 TSI FLEX 12V 5P AU,2020,1,2
LOGAN EXPRES. AVANTAGE FLEX 1.,2019,1,2
CARGO 816 E TB,2013,1,2
Renegade1.8 4x2 Flex 16V Mec.,2018,1,2
CELTA LS 1.0 MPFI FLEX,2013,1,2
ETIOS PLATINUM 1.5 FLEX 16V 4P,2018,1,2
FIT EXL 1.5 FLEX/FLEXONE 16V 5,2016,1,2
SAVEIRO CROSS 1.6 T. FLEX 16V,2016,1,2
Corsa GL 1.6 MPFI,1996,1,2
CRETA,2017,1,2
8-160 E DELIVERY,2012,1,2
Saveiro TROOPER 1.6 Mi Total Flex 8V CE,2013,1,2
FIT EX 1.5 16V,2014,1,2
Fiorino Furg.1.3 Fire Flex,2013,1,2
DUSTER OROCH DYNA. 2.0 HI-FLEX,2016,1,2
NIVUS COMFORTLINE 1.0 200 TSI FLEX AUT.,2021,1,2
Palio Weekend ELX 1.0 mpi Fire 16V,2001,1,2
MONTANA 1.8,2006,1,2
GRAND LIVINA SL 1.8 16V FLEX,2010,1,2
208 GRIFFE 1.6 FLEX,2014,1,2
XC 90 T-6 MOMENTUM 2.0 320CV 4,2015,1,2
Corsa Pick-Up STD 1.6 MPFI,2000,1,2
MARCH SV 1.0 12V FLEX,2018,1,2
COROLLA XLI 1.8 16V FLEX,2007,1,2
KA GL 1.0i Zetec Rocam,2001,1,2
DUSTER DAKAR 1.6 HI-FLEX 16V M,2016,1,2
METEOR 29.520 6X4 2P (DIESEL)(,2022,1,2
FIESTA SEDAN 1.6 FLEX,2012,1,2
P-320 B 8X2 2P (DIESEL)(E5),2019,1,2
Palio Week. Adv/Adv TRYON 1.8 mpi Flex,2014,1,2
FRONTIER LE ATTACK 2.5 CD 4X4,2012,1,2
Corolla Cross XRX 1.8 16V Aut.(Híbrido),2021,1,2
XC 60 T-8 HIBRIDO MOMENTUM 2.0,2021,1,2
SANDERO ZEN FLEX 1.6 16V 5P ME,2019,1,2
TRACKER 2.0 16v 128cv MPFI 4x4 5p,2009,1,2
HB20S Premium 1.6 Flex 16V Mec. 4p,2014,1,2
TECTOR 24-280 6X2 (DIESEL)(E5),2023,1,2
UP! WHITE 1.0 FLEX 12V,2014,1,2
PALIO ELX 1.4 MPI FIRE FLEX,2010,1,2
ETIOS XS Sedan1.5 Flex 16V 4p Mec.,2016,1,2
KANGOO AUTHENTIQUE HI-FLEX 1.6,2007,1,2
Toro Endurance 2.0 16V 4x4 Diesel Aut.,2021,1,2
C4 CACTUS FEEL PACK 1.6 16V FL,2020,1,2
AMAROK HIGHLINE CD 3.0 4X4 TB,2020,1,2
F 4.000 TROPICAMPO CD 3.9 TDI,2011,1,2
Saveiro 1.6 Mi,2011,1,2
HB20 SEDAN 1.6 PREMIUM,2016,1,2
AXOR 2644 S 6X4 (E5),2015,1,2
Palio EL 1.6 spi 2p e 4p,1998,1,2
HRV,2019,1,2
ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.,2015,1,2
Doblo ELX 1.8 mpi 8V Flex,2006,1,2
SPACECROSS 1.6 TOTAL FLEX,2013,1,2
SIENA EL CELEB 1.4 MPI FIRE FL,2014,1,2
FIESTA SEL 1.6 16V FLEX  AUT.,2017,1,2
TORO ENDURANCE 1.8 16V FLEX AU,2020,1,2
CITY SEDAN EX 1.5 FLEX 16V 4P,2017,1,2
AMAROK HIGHLINE CD D 2.0 16V T,2019,1,2
Fiorino Furg.1.3,2004,1,2
Palio Celebration 1.0 Fire Flex 8V 4p,2015,1,2
2500 LARAM. 6.7 NIGHT ED. TB C,2021,1,2
CRETA,2019,1,2
MERIVA JOY 1.8 FLEXPOWER,2007,1,2
Uno Mille 1.0 Economy 4p,2006,1,2
COMMANDER OVERL. TD380 2.0 4X4,2021,1,2
OUTLANDER 3.0 aut,2016,1,2
Corsa Sedan GL 1.6  MPFI 4p,1998,1,2
VOYAGE COMFORTLINE 1.6 MI TOTA,2015,1,2
HB20X EVOLUTION 1.6 FLEX 16V A,2020,1,2
S10 Pick-Up 2.4 MPFI 8v 128cv CD 4p,2000,1,2
FLUENCE SEDAN PRIVILEGE 2.0 16,2015,1,2
TORO FREEDOM ROAD 2.4 16V FLEX,2017,1,2
AMAROK TRENDLINE CD 2.0 16V TD,2014,1,2
DUSTER DYNAMIQUE 2.0 16V HI-FL,2012,1,2
Kombi Pick-Up,1997,1,2
AIRCROSS EXCLUSIVE 1.6 16V FLE,2011,1,2
FOX 1.0 MI TOTAL FLEX,2009,1,2
SAVEIRO TROOPER CE 1.6 MI TOTA,2011,1,2
PRISMA SEDAN LS 1.0 FLEX,2017,1,2
L200 Triton HPE 3.2 CD TB Int.Diesel Aut,2015,1,2
HB20 SEDAN 1.6 COMFORT STYLE,2015,1,2
COROLLA DYNAMIC 2.0 FLEX 16V A,2016,1,2
COBALT LT 1.4 FLEXPOWER,2014,1,2
SPIN LT 1.8 8V ECONO.FLEX 5P A,2013,1,2
ATEGO 2425,2010,1,2
COROLLA XLI 1.6 16V,2005,1,2
MONTANA CONQUEST 1.8 FLEXPOWER,2007,1,2
STRADA,2020,1,2
Strada 1.4 mpi Fire Flex 8V CS,2009,1,2
SPIN PREMIER 1.8 8V ECONO.FLEX,2021,1,2
Uno Mille 1.0 Economy 4p,2002,1,2
RANGER XLT 3.2 20V 4X4 CD D,2019,1,2
ECOSPORT SE 1.6 16V FLEX,2016,1,2
15-190 E Constellation 2p (diesel)(E5),2014,1,2
FIESTA 1.0 FLEX,2010,1,2
ATEGO 2730B 6X4 2P (DIESEL)(E5,2020,1,2
FIORINO FURGAO 1.5,2010,1,2
HB20 SENSE 1.0 FLEX 12V MEC.,2019,1,2
S 10 PICK-UP LS 2.8 4X4 TDI D,2018,1,2
ETIOS PLATINUM 1.5 FLEX 16V 4P,2017,1,2
XT 600 E,1994,1,2
Fiesta Personnalité 1.0 8V 66cv 5p,2002,1,2
FIT LX 1.4 FLEX,2008,1,2
ONIX,2014,1,2
PUNTO ESSENCE 1.6 FLEX,2016,1,2
Palio Trofeo 1.0 Fire 2p,2005,1,2
L200 TRITON SPORT GLX 2.4 CD D,2019,1,2
ETIOS XLS SEDAN 1.5 FLEX 16V 4,2018,1,2
ONIX HATCH LTZ 1.0 12V TB FLEX,2022,1,2
Ducato Multi Long. 2.3 T.Alto ME Diesel,2011,1,2
DOBLO ADVENTURE ER 1.8 MPI,2005,1,2
C-180 CGI Sport 1.6 TB 16V 156cv Aut.,2014,1,2
HB20 COMFORT PLUS 1.6 FLEX,2016,1,2
GOL POWER 1.6 MI TOTAL FLEX,2004,1,2
Fit EX 1.5 Aut,2015,1,2
Fusion 2.5L I-VCT Flex Aut.,2013,1,2
LOGAN DYNAMIQUE HI-FLEX 1.6 8V,2014,1,2
PRISMA SEDAN LTZ 1.4 8V FLEXPO,2013,1,2
ECOSPORT SE 1.6 16V FLEX,2012,1,2
FOX BLUEMOTION 1.6 MI TOTAL FL,2012,1,2
LOGAN Expres. 1.0,2016,1,2
DOBLO ESSENCE 1.8 16V FLEX,2019,1,2
Palio Weekend Trekking 1.6 Flex 16V 5p,2012,1,2
Zafira Expres. 2.0 MPFI FlexPower 5p Aut,2007,1,2
Celta Spirit 1.0 MPFI 8V FlexPower 3p,2005,1,2
Saveiro 1.6 Mi Total Flex 8V CE,2013,1,2
710 PLUS,2007,1,2
L 1620,2007,1,2
RANGER XLT 3.0 PSE 4X4 CD TB D,2011,1,2
AMAROK EXTREME CD 3.0 4X4 TB D,2020,1,2
UNO ATTRACTIVE 1.0 EVO FIRE FL,2019,1,2
AMAROK HIGHLINE CD D 2.0 16V T,2013,1,2
TECTOR 24-300 6X2 (DIESEL)(E5),2023,1,2
SANDERO PRIVILEGE 1.6 HI-FLEX,2011,1,2
PARTNER FURGAO 1.6 16V FLEX,2018,1,2
FIORINO,2014,1,2
Corsa Sedan Classic  1.6 MPFI,2004,1,2
Astra Sedan Expres. GLS 2.0 8v 4p,2002,1,2
COURIER L 1.6 MPI,2011,1,2
IDEA ADVENTURE 1.8 MPI FLEX,2011,1,2
1199 Panigale S,2015,1,2
Idea ELX 1.4 mpi Fire Flex 8V 5p,2005,1,2
AXOR 2544 S 6X2 (E5),2014,1,2
XF FTT530 6X4 SPACE CAB (DIE)(,2020,1,2
ACCELO 915 C,2011,1,2
EQUINOX PREMIER 20 TURBO AWD 2,2018,1,2
JETTA 2.0 TSI TIPTRONIC,2016,1,2
GRAND SIENA ATTRACTIVE 1.4 EVO,2016,1,2
Fit EX 1.5 Flex Aut,2018,1,2
VOYAGE HIGHLINE 1.6 MI TOTAL F,2017,1,2
ECOSPORT TITANIUM 2.0 16V FLEX,2014,1,2
VOYAGE 1.6 MSI FLEX 16V 4P AUT,2019,1,2
DUSTER TECHROAD 2.0 16V,2014,1,2
POLO SEDAN 1.6 MI TOTAL FLEX,2010,1,2
AMAROK HIGHLINE CD 3.0 4X4 TB,2022,1,2
11-180 DELIVERY 2P (DIESEL)(E5,2020,1,2
SIENA 1.0 FIRE FLEX,2006,1,2
MERIVA COLLECTION 1.4 8V ECONO,2012,1,2
MONTANA CONQUEST 1.8 FLEXPOWER,2005,1,2
L200 Triton HPE 3.2 CD TB Int.Diesel Aut,2008,1,2
SANTA FE GLS 3.3 V6 4X4 TIPTRO,2014,1,2
FOX CITY 1.0 MI,2007,1,2
Astra 2.0 8v 3p,2000,1,2
208 GRIFFE 1.6 FLEX 16V 5P AUT,2013,1,2
Sprinter 311 Furgão Curto 2.2 Dies,2012,1,2
ARGO DRIVE S-DESIGN 1.3 8V FLE,2021,1,2
Ranger XLT 2.5 16V 4x2 CD Flex,2013,1,2
TRACKER LT 1.4 TURBO 16V FLEX,2018,1,2
FIT LX 1.4 FLEX,2011,1,2
POLO HIGHLINE 200 TSI 1.0 FLEX,2020,1,2
SORENTO 2.4 16V,2014,1,2
ECOSPORT SE 1.5 12V FLEX 4P AU,2017,1,2
32-360 Constellation 6x4 2p (diesel)(E5),2020,1,2
COBALT LTZ 1.8 8V ECONO.FLEX 4,2012,1,2
GOL CITY (TREND) 1.0 TOTAL FLE,2013,1,2
FUSION TITANIUM AWD 2.0 16V GT,2014,1,2
XF 105 FTT 510 6X4 (DIESEL)(E5,2018,1,2
Civic Sedan LXS 1.8 Flex Aut,2013,1,2
VOYAGE TREND 1.6 MI TOTAL FLEX,2011,1,2
SPACEFOX 1.6 HIGHLINE,2014,1,2
ONIX HATCH RS 1.0 TB 12V Flex 5p Aut.,2022,1,2
NOVO GOL 1.0 MI TOTAL FLEX,2008,1,2
Passat 1.8 Mec.,1998,1,2
DUSTER DYNAMIQUE 1.6 FLEX 16V,2018,1,2
Vectra GLS,1998,1,2
HILUX CS 4X4 2.8 TDI MEC.,2018,1,2
Uno Mille 1.0 Economy 4p,2001,1,2
L200 Triton Sport GLS 2.4 CD Diesel Aut.,2020,1,2
ATEGO 1719 (E5),2022,1,2
Fit EX 1.5 Flex Aut,2019,1,2
UNO SPORTING 1.4 EVO FIRE FLEX,2012,1,2
HR 2.5 TCI HD RD,2010,1,2
F-4000 TURBO(MWM) 2p (diesel),1985,1,2
308 GRIFFE 1.6 TURBO FLEX 16V,2016,1,2
HILUX SRV D4-D 3.0 CD 4X4 TB D,2010,1,2
Toro Ranch 2.0 16V 4x4 Diesel Aut.,2021,1,2
OUTLANDER SPORT HPE 2.0 16V FL,2021,1,2
L-200 OUTDOOR GLS 2.5 4X4 CD T,2011,1,2
MEGANE SEDAN DYNAMIQUE 2.0 16,2007,1,2
Celta Spirit 1.0 MPFI 8V FlexP. 5p,2007,1,2
STRADA ENDURANCE 1.4 FLEX 8V C,2023,1,2
WR-V EXL 1.5 FLEXONE 16V 5P AU,2017,1,2
PALIO 1.0 FIRE,2015,1,2
PALIO ATTRACTIVE 1.4 EVO FIRE,2013,1,2
1720,2000,1,2
FOCUS HATCH 2.0 16V,2015,1,2
Kombi Escolar 1.4,2009,1,2
KWID ZEN 1.0 FLEX 12V 5P MEC.,2023,1,2
CORSA HATCH PREMIUM 1.4 ECONOF,2008,1,2
ONIX SEDAN PLUS 1.0 12V TB FLE,2021,1,2
Kombi Furgão,1997,1,2
HB20 EVOLUTION BLUELINK 1.0 FL,2021,1,2
CLASSE A 200 1.6 TB 156CV AUT.,2016,1,2
Palio 1.0 Celebr. ECONOMY F.Flex 8V 2p,2012,1,1
HR HDB,2015,1,1
Sprinter 416 Furgão Longo T.A. 2.2 Dies.,2021,1,1
CRONOS DRIVE 1.3 8V FLEX AUT.,2023,1,1
CAYENNE E-HYBRID 3.0 V6 462CV,2020,1,1
PUNTO ELX 1.4 FIRE FLEX,2008,1,1
MONTANA COMBO 1.4 8V ECONOFLEX,2009,1,1
RANGER XLS 2.8 CD 4X4 TB D,2004,1,1
PUNTO ESSENCE 1.6 FLEX,2014,1,1
S 10 PICK-UP EXECUTIVE 2.4 CD,2010,1,1
ONIX SD. P. PR. MIDNIGHT 1.0 TB Flex Aut,2021,1,1
Ranger Splash CE,1995,1,1
SAVEIRO CITY 1.6 MI TOTAL FLEX,2006,1,1
Frontier XE CD 4x4 2.3 Bi-TB D,2019,1,1
SAVEIRO 1.6 MI/ 1.6 TOTAL FLEX,2013,1,1
POLO 200 TSI,2019,1,1
RANGER XLT CD4 32,2014,1,1
fit,2018,1,1
SANDERO STEP. EASY R R.CURL H.,2016,1,1
COROLLA FIELDER SW 1.8 FLEX,2006,1,1
GOL CITY (TREND) 1.0 TOTAL FLE,2010,1,1
VM 260 6X2,2009,1,1
FRONTIER LE 2.5 CD 4X4 TB DIES,2012,1,1
CARGO 2422,2007,1,1
TECTOR 240 E 25 S 6X2,2010,1,1
FH 13 540 6X4 (E5),2018,1,1
POLO,2018,1,1
208 ALLURE 1.5 FLEX,2013,1,1
XF FTS480 6X2 SUPER SPACE CAB,2023,1,1
Strada Working 1.5 mpi 8v CS,2000,1,1
FIORINO FURGAO 1.5,2012,1,1
FIORINO FLEX,2013,1,1
VERSA S 1.0 12V FLEX 4P MEC.,2017,1,1
VOYAGE TRENDLINE 1.0 FLEX 8V,2014,1,1
PALIO WEEKEND ADVENTURE 1.8 MP,2013,1,1
VW/24.280 CRM 6X2 4P,2019,1,1
L200 Triton Sport GLS 2.4 CD Diesel Aut.,2019,1,1
Partner Furgão 1.6 16V Flex,2007,1,1
KA SEL 1.5 16V FLEX,2016,1,1
Oroch Outsider 1.3 Turbo CVT - 2022/2023,2021,1,1
S 10 PICK-UP LT 2.8 CD 4X4 TDI,2021,1,1
COMMANDER OVERLAND T270 1.3 TB,2021,1,1
Xsara Picasso Exc. 2.0 16V Mec,2003,1,1
Palio Weekend ELX 1.5 mpi 4p,2000,1,1
X5 XDRIVE 35i 3.0 306cv Bi-Turbo,2013,1,1
Gol Trendline 1.6 T. Flex 8V 5p,2015,1,1
TORO FREEDOM 2.0 16V 4X4 TB DI,2016,1,1
207 SEDAN PASSION XR SPORT 1.4,2010,1,1
VOYAGE HIGHLINE 1.6 MI TOTAL F,2018,1,1
Kombi Luxo,2003,1,1
UNO MILLE 1.0 FIRE,2011,1,1
PALIO WEEKEND TREKKING 1.4 FIR,2008,1,1
8.120 EURO3,2005,1,1
Pathfinder SE 4x4 3.0 12V Aut.,1991,1,1
3008 GRIFFE PACK 1.6 TURBO 16V,2018,1,1
IVECO-DAILY CHASSI 35S14 (E5),2013,1,1
UNO WAY 1.0 EVO FIRE FLEX,2014,1,1
CLIO SEDAN EXPRESSION 1.0 16V,2005,1,1
VERSA V-DRIVE Esp.Ed. 1.6 16v Flex Aut.,2021,1,1
OUTLANDER 2.2 165CV DIESEL AUT,2016,1,1
2500 LARAMIE SLT 6.7 TDI CD 4X,2017,1,1
G 360 A 6X2,2013,1,1
Corsa Sedan Super Milenium 1.0 MPFI 16V,2000,1,1
VERTIS 90V18,2013,1,1
C-20 Custom Std. 4.1,1992,1,1
Jumper 2.3 Vetrato Exec. 16Lug. TB Dies.,2015,1,1
207 XS 1.6 FLEX,2012,1,1
8.120,2001,1,1
honda civic lxr,2014,1,1
C3 TENDANCE 1.5 FLEX,2014,1,1
Kicks 1.6 Sense CVT,2022,1,1
206 FELINE 1.6 16V FLEX,2006,1,1
PAJERO TR4 2.0 16V 4X4 FLEX,2008,1,1
PRISMA SEDAN LT 1.4 8V FLEXPOW,2016,1,1
UNO atractive,2019,1,1
MERIVA JOY 1.8 FLEXPOWER,2004,1,1
CLIO SEDAN AUTHENTIQUE 1.0 16V,2007,1,1
POLO MFI AUT,2019,1,1
VIRTUS COMFORTLINE AD,2018,1,1
prisma,2019,1,1
gran siena 1.6,2015,1,1
GOL TRENDLINE 1.6 T. FLEX 8V,2015,1,1
AMAROK CD 2.0 16V TDI 4X4 D,2013,1,1
FIORINO FURGAO 1.3 FIRE FLEX,2011,1,1
Fox,2017,1,1
Cargo 2422e Max Truck 6x2 5.8 I6 Turbo Cummins Dies.,2007,1,1
Kangoo RN Expression 1.6,2006,1,1
CITY LX FLEX,2013,1,1
XC 60 T-5 R-DESIGN 2.0 AWD 5p,2017,1,1
Pajero TR4 2.0 mec,2005,1,1
Civic Sedan LX 1.6 16V Mec. 4p,2000,1,1
FUSCA 1300,1971,1,1
T-CROSS CL TSI AD,2021,1,1
FH 440 6X2T,2010,1,1
Boxer 2.3 Furg.TB Dies. Longo T.Alto,2010,1,1
GSX 1300-R Hayabusa,2003,1,1
LOGAN SEDAN EXPRESSION 1.6 16V,2011,1,1
L-1313 2p (diesel),1983,1,1
DISCOVERY SPORT SE 2.0 4X4 AUT,2015,1,1
SX4 S-CROSS GLX 1.6 16V AUT.,2015,1,1
HILUX STANDARD D4-D 2.5 16V 4X,2009,1,1
Palio Weekend ELX 1.4 mpi Fire Flex 8V,2010,1,1
17-180 WORKER 2p (diesel),2008,1,1
HB20S PLATINUM PLUS 1.0 TB FLE,2023,1,1
SANDERO STEPWAY Hi-Flex 1.6 16V 5p Aut.,2011,1,1
HB20 VISION 1.6 FLEX 16V AUT,2019,1,1
FIT DX 1.4 FLEX,2012,1,1
ASX OUTDOOR 2.0 4X4 16V 160 CV,2016,1,1
Clio RL Authent 1.0 16v 5p,2004,1,1
SANDERO STEP. ICONIC FLEX 1.6,2021,1,1
Yaris,2021,1,1
CRETA LIMITED 1.0 TB 12V FLEX,2023,1,1
RANDON SR BA,2021,1,1
up! take 1.0 T. Flex 12V 3p,2016,1,1
RENEGADE,2015,1,1
TCROSS,2021,1,1
RENEGADE1.8 4X2 FLEX 16V AUT(P,2021,1,1
OUTLANDER GT 3.0 V6,2015,1,1
PAJERO SPORT HPE,2020,1,1
UNO VIVACE CELEB. 1.0 EVO FIRE,2010,1,1
VM 330 8X2 (DIESEL) (E5) R (CA,2022,1,1
Gol CL  1.8,1995,1,1
9-160 E DELIVERY,2014,1,1
26-320 CONSTELLATION 6X2 2P (D,2023,1,1
24.280 CRM 6X2,2012,1,1
5-150 E DELIVERY,2012,1,1
KA CE 1.0,2019,1,1
L-200 TRITON SAVANA 3.2 CD TBI,2013,1,1
Corsa Wagon GLS 1.6 16V MPFI 4p,1997,1,1
TECTOR 24-280 6X2 (DIESEL)(E5),2020,1,1
Sprinter 416 Furgão E.L. T. A. 2.2 Dies.,2022,1,1
CARGO 2422 T,2005,1,1
VECTRA ELEGANCE 2.0 MPFI FLEXP,2008,1,1
Cayenne S 4.5,2012,1,1
FH 13 460 GLOBETROTTER 6X2 (E5,2015,1,1
"DUSTER ZEN 1.6 16V FLEX AUT,",2021,1,1
KA 1.0 SEL TICVT FLEX,2015,1,1
Kangoo Express  1.6 16v,2005,1,1
GOL POWER 1.6 MI TOTAL FLEX,2007,1,1
ATRON 1635 S 2p (diesel) (E5),2017,1,1
CRUZE,2017,1,1
206 SENSATION 1.0 16V,2005,1,1
Fiorino Pick-Up Trekking 1.5 mpi,1997,1,1
Courier 1.3i,1998,1,1
CRUZE HB SPORT LT 1.8 16V FLEX,2013,1,1
ONIX PLUS 10MT LT2,2021,1,1
SENTRA SV CVT,2018,1,1
5-150 E DELIVERY,2016,1,1
HD 78 3.0 16V D,2011,1,1
TUCSON GLS 1.6 TURBO 16V AUT.,2020,1,1
GRAND SIENA ESSENCE SUBLIME 1.,2014,1,1
UP! TAKE 1.0 TOTAL FLEX 12V 5P,2015,1,1
SAVEIRO STARTLINE 1.6 T.FLEX 8,2014,1,1
POLO 1.6 E FLEX,2011,1,1
Corsa Wind 1.6 MPFi 4p,2000,1,1
UNO DRIVE 1.0 FLEX 6V,2017,1,1
KWID ZEN 10MT,2018,1,1
CLS-350 CGI 3.5 306cv Aut.,2013,1,1
TRAILBLAZER LTZ 2.8 CTDI,2019,1,1
PALIO FIRE FLEX,2007,1,1
CERATO SX 1.6 16V FLEX,2014,1,1
Strada Trekking 1.8 mpi Flex 8V CE,2005,1,1
Kwid Outsider 1.0 MT,2022,1,1
LOGAN Privilège Hi-Flex 1.6 16V 4p,2007,1,1
ford ecosport se 1.6,2014,1,1
4400P7 6X2,2012,1,1
Kwid Outsider 1.0 MT,2023,1,1
CARGO 2429 E 6X2 TB,2017,1,1
UP MOVE,2017,1,1
FIAT,2018,1,1
ECOSPORT XLS 1.6 FLEX,2004,1,1
FORD KA,2018,1,1
HILUX D4-D 4X4 2.5 16V TB D,2009,1,1
Corsa Pick-Up Champ 1.6 EFI,1998,1,1
Palio 1.0 Celebr. ECONOMY F.Flex 8V 2p,2013,1,1
FOX ROUTE 1.6 MI TOTAL FLEX,2009,1,1
Sprinter 311 Furgão Longo Teto alto Dies,2014,1,1
D-20 4.0 Conquest,1994,1,1
NOVO GOL 1.6 TOTAL FLEX,2009,1,1
GOL 1.6L MB5,2018,1,1
ACTROS 2546 LS 6X2 (E5),2020,1,1
SPIN ACTIV 1.8 8V ECONO. FLEX,2015,1,1
NOVO GOL 1.6 TOTAL FLEX,2013,1,1
KWID INTENSE 1.0 FLEX 12V 5P MEC.,2021,1,1
UNO MILLE 1.0 FIRE FLEX,2010,1,1
ULTRA LIMITED FLTHTK,2019,1,1
FIESTA SEL 1.6 16V FLEX  AUT.,2018,1,1
FH 13 460 6X4 (E5),2014,1,1
Corsa Milenium  1.0 MPF,2001,1,1
STRADA 1.4 MPI FIRE FLEX CE,2012,1,1
ARRIZO 6 PRO 1.5 TURBO (HIBRID,2022,1,1
HILUX D4-D 4X4 2.5 16V TB D,2011,1,1
KA 1.5 16V FLEX,2018,1,1
VERSYS 1000CC,2019,1,1
PALIO 1.0 FIRE FLEX,2014,1,1
HR 2.5 TCI HD RS,2009,1,1
UP! CROSS 1.0 TSI TOTAL FLEX 1,2019,1,1
Q3 PRESTIGE 1.4 TFSI FLEX S-TR,2019,1,1
UP! EXTREME 1.0 TSI TOTAL FLEX,2020,1,1
Palio 1.6 mpi 16V 4p,1996,1,1
NOVO GOL CITY 1.6 TOTAL FLEX,2013,1,1
GLE-400 HIGHWAY COUPE 3.0 V6 3,2019,1,1
S10 Pick-Up Luxe 2.2 EFI,1996,1,1
CRUZE LT 1.4 16V TURBO FLEX 4P,2020,1,1
CIVIC SEDAN EXS 1.8 16V FLEX,2009,1,1
Pampa L 1.8,1993,1,1
C3 GLX 1.4 FLEX,2006,1,1
MARCH SV 1.6 16V FLEXSTART 4P,2019,1,1
SPACEFOX 1.6 MI TOTAL FLEX,2007,1,1
GOL TRENDLINE 1.0 T.FLEX 12V 4,2017,1,1
FIT LXL 1.4 FLEX,2004,1,1
KICKS,2019,1,1
Locação - Kwid Outsider 1.0 MT-PM 1000/12,2023,1,1
L200 Triton S. HPE FTP 2.4 CD Dies. Aut.,2016,1,1
L-1113 2p (diesel),1976,1,1
LOGAN SEDAN PRIVILEGE 1.6 8V H,2008,1,1
Fiorino Furg.1.3,2005,1,1
MASTER CHASSI CABINE,2013,1,1
FOX PLUS 1.6 MI TOTAL FLEX,2008,1,1
3500 LARAM.6.7 NIGHT ED.TB CD,2022,1,1
S10 Pick-Up Std. 2.2 MPFI CD,1999,1,1
Courier 1.3i,1997,1,1
SANDERO STEPWAY FLEX 1.6 16V 5,2019,1,1
11.180,2018,1,1
PALIO WEEKEND TREKKING 1.6 16V,2012,1,1
330e M Sport 2.0 Turbo Híbrido Aut.,2022,1,1
Ducato Maxi. Long. 2.3 T.Alto ME Diesel,2015,1,1
CRUZE LT NB,2013,1,1
onix 1.4 ltz,2018,1,1
PARTNER FURGAO 1.6 16V FLEX,2010,1,1
IVECO-DAILY TRUCK CHASSI 70C17,2012,1,1
