modelo,fabricacao,quantidade
CITY HATCHBACK TOURING 1.5 FLE,2022,1
ETIOS XS SD 1.5,2014,1
Cayenne S 4.5,2012,1
HB20 SEDAN 1.6 COMFORT PLUS,2015,1
Uno Mille EP 2p e 4p,1995,1
Corsa Wind 1.0 EFI 2p,2000,1
330e M Sport 2.0 Turbo Híbrido Aut.,2022,1
Sorento EX 3.8 V6 24V 267cv 4x4 Aut.,2008,1
SPIN LT 1.8 8V Econo.Flex 5p Aut.,2014,1
ETIOS X HB 1.3,2015,2
Fit EX 1.5 Aut,2005,1
S 10 PICK-UP LT 2.4 CD FLEX PO,2013,1
Celta Spirit 1.0 MPFI 8V FlexP. 5p,2009,1
ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,2022,2
ECOSPORT FREESTYLE 1.6 16V FLE,2015,1
Kwid Outsider 1.0 MT-2021/2022,2022,3
Gol CL 1.6 Mi 2p e 4p,1997,1
SPIN LT 1.8 8V ECONO.FLEX 5P A,2013,1
YARIS XL Plus Con. 1.5 Flex 16V 5p Aut.,2021,2
FOX CITY 1.0 MI TOTAL FLEX,2009,2
GOL SPECIAL 1.0 TOTAL FLEX 8V,2015,2
ONIX SEDAN PLUS 1.0 12V TB FLE,2021,1
Kangoo RN Expression 1.6,2006,1
A3 Sedan 1.4 TB FSI Flex Tiptronic 4p,2018,1
Ka 1.0 SE TiVCT Flex 5p,2015,1
Strada 1.3 mpi Fire 8V 67cv CE,2003,1
HILUX CD SRX 4X4 2.8 TDI 16V D,2021,8
Saveiro TROOPER 1.6 Mi Total Flex 8V CE,2013,1
KA 1.0 8V,2008,1
SANDERO Dynamique Hi-Power 1.6 8V 5p,2014,1
TORO FREEDOM 1.3 T270 4X2 FLEX,2023,1
CG 160 FAN Flex,2019,2
Uno Mille 1.0 Fire Flex 2p,2008,1
Ka+ Sedan 1.5 16V Flex 4p,2018,1
CLASSIC LS 1.0 FLEXPOWER,2011,1
F-4000 4X4 (DIESEL)(E5),2018,1
HILUX CD SRV 4X4 2.8 TDI DIESE,2019,6
Fit EX 1.5 Aut,2013,1
26-320 CONSTELLATION 6X2 2P (D,2023,1
STRADA WORKING HARD 1.4 FIRE F,2018,3
TERRITORY TITANIUM 1.5 GTDI EC,2020,1
CLIO HATCH EXPRESSION 1.0 16V,2014,3
HR-V EX 1.8 Flexone 16V 5p Aut.,2021,1
SIENA EX 1.0 FIRE,2007,1
TORO VOLCANO 1.3 T270 4X2 FLEX,2022,2
FM 13 480 6X4,2008,1
UNO WAY 1.0 EVO FIRE FLEX,2015,1
TORO FREEDOM ROAD 2.4 16V FLEX,2017,1
CARGO 2429 E 6X2 TB,2015,1
VOYAGE 1.0 8V 4P,2010,2
VOYAGE TRENDLINE 1.0 FLEX 8V,2014,1
15-180 E CONSTELLATION,2009,1
FLUENCE Sedan Dynamique 2.0 16V FLEX Aut.,2013,1
NOVO GOL 1.0 MI TOTAL FLEX,2012,3
FIORINO FLEX,2013,1
R-450 A 6X2 2P (DIESEL)(E5),2020,1
DOBLO CARGO 1.4 MPI FIRE FLEX,2014,1
HB20X EVOLUTION 1.6 FLEX 16V A,2020,1
mobile lite,2021,1
C4 LOUNGE ORIGINE 2.0 FLEX 4P,2016,1
FIESTA SE 1.6 16V FLEX,2016,2
S10 Pick-Up Luxe 2.2 EFI,1996,1
HILUX CHASSI D4-D 3.0 4X4 TB D,2014,1
R 440 A 6X4 HIGHLINE (E5),2014,1
11.180,2022,1
ARGO DRIVE S-DESIGN 1.3 8V FLE,2021,1
UNO VIVACE CELEB. 1.0 EVO FIRE,2010,1
C3 SONORA 1.6 FLEX,2011,1
STRADA FREEDOM 1.3 FLEX 8V  CS,2023,2
XTZ 250 LANDER 249cc,2019,1
CIVIC SEDAN LXL 1.8 FLEX 16V,2012,1
CG 160 Start,2022,1
SAVEIRO STARTLINE 1.6 T.FLEX 8,2014,1
FIORINO FURGAO EVO 1.4 FLEX 8V,2015,1
ONIX HATCH LT 1.0 12V FLEX 5P,2021,1
COMPASS LONGITUDE 2.0 4X2 FLEX,2018,1
GOL 1.0 FLEX 12V 5P,2020,3
FIESTA SEDAN 1.6 FLEX,2010,2
HR 2.5 TCI HD RD,2013,2
SIENA ELX 1.4 MPI FIRE FLEX,2008,3
FIESTA S 1.5 16V FLEX,2015,1
KA+ SEDAN 1.0 TICVT FLEX,2020,1
HILUX SW4 SRV D4-D 4X4 3.0 TDI,2009,1
AMAROK HIGHLINE CD D 2.0 16V T,2019,1
DELIVERY EXPRESS 2P (DIESEL)(E,2020,1
Meteor Fireball 350cc ABS,2022,1
Saveiro Startline 1.6 T.Flex 8V,2014,1
Vectra GLS,2002,1
S 10 PICK-UP LT 2.8 CD 4X4 TDI,2019,1
FOCUS FASTBACK TIT. 2.0 FLEX,2016,1
FH 12 380 4X2,2005,1
Fit EXL 1.5 Flex 16V 5p Aut,2015,2
Up! move 1.0 Total Flex 12V 5p,2014,1
23.250 E 6X2,2005,2
STRADA ENDURANCE 1.4 FLEX 8V C,2020,1
Clio RL Authent 1.0 16v 5p,2004,1
CLASSIC LS 1.0 FLEXPOWER,2013,1
ETIOS CROSS 1.5 FLEX 16V,2015,2
Toro Endurance 2.0 16V 4x4 Diesel Aut.,2021,1
GRAND SIENA ATTRACTIVE 1.4 EVO,2016,1
ETIOS XLS SD 1.5,2013,1
IDEA ATTRACTIVE 1.4 FIRE FLEX,2012,1
FIESTA 1.6 FLEX,2012,1
FH 13 460 6X2 (E5),2013,1
17-180 WORKER 2p (diesel),2008,1
TUCSON 2.0 16V FLEX,2014,1
VW/SAVEIRO CS RB MPI,2023,1
KA 1.0 SEL TICVT FLEX,2015,1
L200 Triton Sport GLS 2.4 CD Diesel Aut.,2020,1
YARIS XL LIVE 1.3 FLEX 16V 5P,2021,1
CG 150 TITAN-EX MIX,2010,1
MERIVA JOY 1.8 FLEXPOWER,2006,1
S 10 PICK-UP TORNADO 2.8 CD TB,2005,1
UP! TAKE 1.0 T. FLEX 12V,2015,1
31-330 E CONSTELLATION 6X4,2018,1
CB TWISTER 250cc,2022,1
TUCSON 2.0 16V,2009,1
320 IA SPORT 2.0 TB 16V,2020,1
TORO ENDURANCE 1.8 16V FLEX AU,2020,1
HILUX CD SR 4X4 2.8 TDI DIESEL,2020,1
SAVEIRO CROSS 1.6 T. FLEX 16V,2016,1
COOPER JOHN WORKS 2.0 TURBO 3P,2018,1
RENEGADE1.8 4X2 FLEX 16V AUT(P,2018,1
GOL CITY (TREND) 1.0 TOTAL FLE,2012,2
-BENZ/1214 C,1998,1
COMPASS LONGITUDE 2.0 4X4 DIES,2019,1
SANDERO STEP. ZEN FLEX 1.6 16V,2020,1
DUSTER ICONIC 1.6 16V FLEX AUT,2020,1
CITY SEDAN EXL 1.5 FLEX  16V 4,2021,1
AMAROK CS 2.0 16V TDI 4x4,2013,1
CRV LX 2.0 16V 2WD,2012,1
NXR 160 Bros,2018,1
CRONOS DRIVE 1.3 8V FLEX AUT.,2023,1
Frontier XE CD 4x2 2.5 TB Diesel,2012,1
T-CROSS CL TSI AD,2021,1
COROLLA ALTIS PREM. HYBRID 1.8,2022,1
FIT LXL 1.4 FLEX,2011,1
V40 T-5 R-DESIGN 2.0 Aut.,2018,1
CIVIC SEDAN EXL 2.0 FLEX 16V .,2021,1
DYNA SUPER GLIDE CUSTOM,2011,1
"","",434
L200 Triton GL 3.2 CD TB Int. Dies. Mec.,2014,1
GSX  650F,2009,1
CG 160 TITAN FLEXone,2021,1
FAT BOY FLFB,2019,1
Caravan Comodoro 4.1,1990,1
PALIO 1.0 FIRE,2014,1
Fiorino Furg.1.3,2012,1
Fit LX 1.4 8V Mec,2005,1
ULTRA LIMITED FLTHTK,2020,1
Fox 1.0 Mi Total Flex 8V 5p,2014,1
Corsa Sedan Classic  1.6 MPFI,2004,1
VM 330 8X2 (DIESEL) (E5) T (RE,2019,1
CG 160 FAN Flex,2022,1
HILUX CS 4X4 2.8 TDI MEC.,2018,1
BEE 200cc Royale,2017,1
Ranger XLS 2.2 4x4 CD Diesel Aut.,2018,1
PRISMA SEDAN MAXX 1.4 ECONOFLE,2009,1
CB 650F,2015,1
STRADA WORKING 1.4 MPI FIRE FL,2018,2
FIESTA 1.0 FLEX,2009,1
Partner Furgão 1.8 3p,2002,2
L200 Triton HPE 3.2 CD TB Int.Diesel Aut,2015,1
HRV,2019,1
FIORINO FURGAO 1.3 FIRE FLEX,2012,2
SIENA EL CELEB 1.4 MPI FIRE FL,2014,1
SPEED TRIPLE 1050i,2006,1
PRISMA  Sed. LT  1.4 8V Econof,2011,1
XF 105 FTT 510 6X4 (DIESEL)(E5,2020,2
PALIO ELX 1.4 MPI FIRE FLEX,2010,1
Kombi Escolar 1.4,2009,1
XT 600 E,1994,1
FIT LXL 1.4 FLEX,2004,1
HB20 COMFORT PLUS 1.0 FLEX,2015,3
Mobi lite,2019,1
LOGAN Expression Hi-Flex 1.6 8V 4p,2014,1
15-180 E WORKER,2011,1
STRADA 1.4 MPI FIRE FLEX CE,2010,2
HB20 C.Plus 1.0,2013,1
Amarok CS S 4Motion 2.0 TDI Turbo Dies. 2P,2018,2
UNO MILLE ECONOMY 1.0 FLEX,2010,1
Onix Plus LT,2020,1
PRISMA SEDAN LTZ 1.4 8V FLEXPO,2013,1
Ranger STX 4.0 CS,1995,1
SPIN LT 1.8 ECONOFLEX,2015,1
F-13000 2p (diesel),1981,1
MARCH SV 1.6 16V FLEXSTART 4P,2019,1
PALIO WEEKEND ADVENTURE 1.8 MP,2013,1
Palio ELX 1.0 Fire,2004,1
Palio 1.0 Fire Flex  2p,2006,1
VOYAGE 1.0 CITY MI TOTAL FLEX,2009,1
PALIO FIRE FLEX,2007,1
8.150 E DELIVERY,2008,1
KWID ZEN 10MT,2018,1
VOYAGE HIGHLINE 1.6 MI TOTAL F,2016,1
CG 160 Start,2019,2
S 10 PICK-UP LS 2.8 4X4 TDI D,2017,1
S 10 PICK-UP LS 2.8 4X4 TDI D,2020,1
FIT EX/S/EX 1.5 FLEX/FLEXONE 1,2015,1
C-200 Kompressor Avant.1.8 16V Aut,2009,1
YBR 150 FACTOR ED,2018,1
TIGGO 5X TXS 1.5 16V TURBO FLE,2021,1
KA 1.0 SE/SE PLUS TICVT FLEX 5,2015,2
BROSS,2020,1
Palio 1.6 mpi 16V 4p,1996,1
C3 PICASSO EXCLUSIVE 1.6 16V F,2012,3
C3 EXCLUSIVE 1.6 VTI FLEX STAR,2013,2
ONIX HATCH LTZ 1.4 8V FLEXPOWE,2017,1
Cerato 1.6 16V  Flex  Aut.,2013,1
Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,2020,1
NX-4 FALCON 400,2008,1
BIZ 125 Flexone,2019,1
PALIO WEEKEND ELX 1.4 MPI FIRE,2007,1
NOVO GOL 1.0 MI TOTAL FLEX,2014,2
SPIN PREMIER 1.8 8V ECONO.FLEX,2019,2
COROLLA XEI 1.8 16V,2004,1
Kwid Zen 1.0 MT-2021/2022,2021,2
POLO SEDAN 1.6 MI TOTAL FLEX,2007,1
ZAFIRA ELITE 2.0 MPFI FLEXPOWE,2005,1
VOYAGE TRENDLINE 1.6 FLEX 8V,2015,1
Civic Sedan TOURING 1.5 Turbo 16V Aut.4p,2016,1
COURIER VAN 1.6,2012,1
5-150 E DELIVERY,2013,1
POLO SEDAN CONFORTLINE 2.0 MI,2005,1
COROLLA ALTIS PREM. HYBRID 1.8,2019,1
J6 2.0 16V 5p Mec.,2011,1
NOVO GOL CITY 1.0 TOTAL FLEX,2013,2
RANGER XLS 2.2 4X4 CD DIESEL M,2015,1
C3 PICASSO GLX 1.6 16V FLEX AU,2012,2
VOYAGE 1.6 MI TOTAL FLEX,2012,2
FLUO 125 ABS,2023,1
L-200 OUTDOOR GLS 2.5 4X4 CD T,2011,1
VERTIS 90V18,2013,1
FIORINO,2014,1
KA GL 1.0i Zetec Rocam,2006,1
HR-V EX 1.8 Flexone 16V 5p Aut.,2015,1
ASX 2.0,2013,1
FIT DX 1.4 FLEX,2012,1
FIORINO HD WK E,2018,1
Up! take 1.0 Total Flex 12V 5p,2017,1
P-320 B 8X2 2P (DIESEL)(E5),2019,1
CB TWISTER 250cc,2019,1
OUTLANDER GT 3.0 V6,2014,2
XSARA PICASSO GLX 1.6 16V FLEX,2011,1
Ducato Multi Long. 2.3 T.Alto ME Diesel,2011,1
SANDERO STEPWAY 1.6 16V HI-FLE,2011,2
FASTBACK LIMITED ED.1.3 270 T.,2022,1
COMPASS S T270 1.3 TB 4X2 FLEX,2021,1
DUSTER DYNAMIQUE 2.0 16V HI-FL,2011,1
CITY SEDAN PERSONAL 1.5 FLEX 1,2018,1
TORO FREEDOM 1.8 16V FLEX AUT,2021,1
LOGAN SEDAN EXPRESSION 1.6 16V,2011,1
FH 12 380 4X2,2004,1
Fit LX 1.4 16V Mec,2010,1
G 360 A 6X2,2018,1
FOCUS HATCH 1.6 MPI,2012,1
SANDERO PRIVILEGE 1.6 HI-FLEX,2011,1
207 SEDAN PASSION XR SPORT 1.4,2010,1
PUNTO ELX 1.4 FIRE FLEX,2008,1
Ka 1.5 FreeStyle 12V Flex 5p Aut.,2020,1
ONIX HATCH LT 1.0 8V FLEXPOWER,2013,1
Gol (novo) 1.0 Mi Total Flex 8V 4p,2010,1
AMAROK HIGHLINE CD D 2.0 16V T,2012,1
SANDERO STEPWAY 1.6 16V HI-FLE,2013,1
OUTLANDER SPORT HPE 2.0 16V FL,2021,1
CRUZE LT NB,2013,1
LOGAN Expression Hi-Flex 1.6 8V 4p,2016,1
CG 160 Start,2016,1
Oroch Outsider 1.3 Turbo CVT - 2022/2023,2022,36
Civic Sedan EXL 2.0 Flex 16V Aut.4p,2017,1
Fit LX 1.4 16V Mec,2012,1
15-190 E CONSTELLATION,2015,1
FIESTA SEDAN 1.0 FLEX,2007,1
FH 13 540 GLOBETROTTER 6X4 (E5,2022,1
Sprinter 416 Furgão E.L. T. A. 2.2 Dies.,2022,1
ONIX,2022,1
UNO VIVACE CELEB. 1.0 EVO FIRE,2014,2
GOL CITY 1.0 MI,2004,1
STRADA HARD WORKING CABINE ESTENDIDA E,2019,1
HB20 EVOLUTION 1.0 FLEX 12V ME,2021,1
Fiorino Furg.1.3,2010,2
PALIO CELEBRATION 1.0 FIRE FLE,2008,3
i30 1.8 16V 148cv Aut. 5p,2013,1
NX-4 FALCON 400,2000,1
KA CE 1.0,2019,1
STRADA WORKING CELEB 1.4 FIRE,2015,2
Kombi Standard 1.4 Mi Total Flex 8V,2013,2
COROLLA XEI 2.0 FLEX,2013,1
710 PLUS,2009,2
LOGAN Privilège Hi-Flex 1.6 16V 4p,2007,1
BANDIT N-650,2011,1
Corsa Sedan Classic  1.6 MPFI,2003,1
G 440 A 6X4 (E5),2012,1
ETIOS X PLUS 1.5 FLEX 16V 5P A,2021,1
MOBI LIKE 1.0 FIRE FLEX 4P.,2022,4
ONIX SED. PLUS PREM. 1.0 12V T,2019,1
TIGUAN ALLSPACE 250 TSI 1.4 FL,2019,1
RANGER XLS 2.5 16V 4X2 CD,2013,1
"8,160 DRC 4X2",2012,2
STRADA WORKING HARD 1.4 FIRE F,2017,3
VIRTUS HIGHLINE 200 TSI 1.0 FL,2021,1
DUSTER OROCH EXP. 1.6 HI-FLEX,2021,1
24-280 E CONSTELLATION 6X2,2013,2
corolla,2021,1
EcoSport XLT 1.6 Flex,2007,2
KA GL 1.0i Zetec Rocam,2001,1
PRISMA SEDAN LT 1.4 8V FLEXPOW,2016,1
GRAND SIENA TETRAFUEL 1.4 EVO,2014,2
TCROSS,2021,1
COROLLA XEI 2.0 FLEX,2011,2
PAJERO TR4 2.0 16V 4X4 FLEX,2008,1
TRANSIT Chassi 2.4 TDCI Diesel,2010,1
CB 500,1998,1
COROLLA GLI 1.8 FLEX,2009,1
ELITE 125,2022,1
Ka+ Sedan 1.5 SEL 16V Flex 4p,2017,2
HILUX SW4 SRX 4X4 2.8 TDI 16V,2021,1
DUSTER TECHROAD 2.0 16V,2014,1
10-160 E DELIVERY,2015,1
T-CROSS 1.0 TSI FLEX 12V 5P AU,2019,1
FIORINO FURGAO 1.3 FIRE FLEX,2010,2
SANDERO EXP. S.ESPECIAL FLEX 1,2019,1
HD 78 3.0 16V D,2011,1
PALIO 1.0 FIRE FLEX,2008,1
CORSA SEDAN CLASSIC LIFE 1.0 F,2005,2
ATEGO 2730B 6X4 2P (DIESEL)(E5,2020,1
PCX 150,2022,1
PRISMA LT 1.0 SPE/4 FLEX,2016,2
VOYAGE HIGHLINE 1.6 MI TOTAL F,2014,1
Fiesta S 1.0 8V Flex 5p,2014,1
Kicks 1.6 Advance Plus CVT,2022,1
ACTROS 2651 S 6X4 2P (DIESEL)(,2021,1
YARIS XS SEDAN 1.5 FLEX 16V 4P,2019,1
17-180 WORKER 2P (DIESEL),2007,1
JETTA GLI 350 TSI 2.0 16V 4P A,2019,1
honda civic lxr,2014,1
POLO TRACK 1.0 FLEX 12V 5P,2023,1
GRAND SIENA ATTRACTIVE 1.4 EVO,2012,2
RANGE R. VE. R-DYN SE 2.0 4X4,2019,1
SIENA EL 1.0 MPI FIRE FLEX,2011,2
RENEGADE1.8 4X2 FLEX 16V AUT(P,2020,1
VM 260 6X2,2009,1
3500 LARAM. LONGHORN 6.7 TB CD,2022,2
ASX OUTDOOR 2.0 4X4 16V 160 CV,2016,1
CRUZE SPORT LT 1.4 16V TB FLEX,2021,1
FIESTA SE 1.6 16V FLEX,2012,1
AXOR 3131 6X4,2022,1
407 Sed. Allure 2.0 16V 4p Aut.,2006,1
RANGER XLT CD4 32,2014,1
207 XS 1.6 FLEX AUT,2012,1
Astra GL 1.8 MPFI 3p,2000,1
DUSTER DYNAMIQUE 1.6 16V HI-FL,2013,1
STRADA 1.4 MPI FIRE FLEX CE,2012,1
Fiorino Pick-Up Trekking 1.5 mpi,1997,1
FOR KA,2018,1
COMPASS LONGITUDE 2.0 4X2 FLEX,2017,1
320 IA MODERN 2.0 TB 16V,2019,1
STRADA WORKING HARD 1.4 FIRE F,2020,2
709 2p (diesel),1993,1
OUTLANDER 2.2 165CV DIESEL AUT,2016,1
ARGO DRIVE 1.0 6V FLEX,2022,1
CRUZE,2017,1
JOY HATCH1.0 8V FLEX 5P MEC.,2019,2
FZ25 250 FAZER FLEX,2021,2
C4 CACTUS SHINE 1.6 TURBO FLEX,2021,1
JETTA 2.0 TSI TIPTRONIC,2017,1
SPORTAGE EX 2.0 16V FLEX,2018,1
DELIVERY EXPRESS 2P (DIESEL)(E,2018,2
SANDERO,2016,1
SAVEIRO CITY 1.6 MI TOTAL FLEX,2006,1
MERIVA JOY 1.8 FLEXPOWER,2007,1
SPIN LTZ 1.8 ECONOFLEX,2015,1
AXOR 2540 S 6X2,2010,1
CLIO SEDAN EXPRESSION 1.0 16V,2005,1
SPACEFOX TREND 1.6 TOTAL FLEX,2014,1
32-360 Constellation 6x4 2p (diesel)(E5),2020,1
XTZ 150 ED CROSSER,2014,1
JETTA 2.0 TIPTRONIC FLEX,2014,2
Civic Sedan LXR 2.0 Flexone 16V Aut. 4p,2014,1
TIGUAN ALLSPACE R-LINE 350 TSI,2018,1
FIESTA 1.0 FLEX,2008,1
CRETA,2019,1
HB20 Unique 1.0 Flex 12V Mec.,2018,1
COBALT LTZ 1.4 FLEXPOWER,2012,1
Gol CLi  1.6,1995,1
Ranger XLT 2.5 16V 4x2 CD Flex,2013,1
IDEA ADVENTURE LOCKER 1.8 FLEX,2010,1
PRISMA SEDAN LS 1.0 FLEX,2017,1
UNO VIVACE Celeb. 1.0 EVO F.Flex 8V 5p,2014,1
COMPASS LONGITUDE 2.0 4X2 FLEX,2020,1
RENEGADE SPORT 1.8 4X2 FLEX 16,2017,1
SANDERO AUTH. S.ESPECIAL FLEX,2019,1
8.150 E DELIVERY,2009,1
UP! PEPPER 1.0 TSI L FLEX 12V,2018,1
PALIO ATTRACTIVE 1.4 EVO FIRE,2013,1
Sprinter 416 Furgão Longo T.A. 2.2 Dies.,2021,1
L-1621 3-Eixos 2p (diesel),1995,1
Corolla ALTIS 2.0 Flex 16V Aut.,2010,1
UNO VIVACE 1.0 EVO Fire Flex 8V 5p,2014,1
Kombi Standard,1993,1
ix35 2.0 16V 170cv 2WD aut,2011,1
TIGUAN ALLSPACE R-LINE 350 TSI,2019,1
CLA-200 URBAN 1.6 TB 16V 156CV,2015,1
ACCELO 915 C,2011,1
PUNTO ATTRACTIVE ITALIA 1.4 FL,2012,1
STRADA WORKING 1.4 MPI FIRE FL,2016,2
ONIX HATCH LTZ 1.0 12V TB FLEX,2022,1
JETTA VARIANT 2.5 20V TIPTRONI,2008,2
Punto T-JET 1.4 16V Turbo 5p,2012,2
Gol Special 1.0 Mi 4p,2002,1
FIT EX 1.5 16V,2014,1
UNO VIVACE 1.0 EVO FIRE FLEX,2014,2
TRACKER LT 1.4 TURBO 16V FLEX,2018,1
CRETA ACTION 1.6 16V FLEX AUT.,2020,3
ONIX HATCH LT 1.4 8V FLEXPOWER,2013,3
Fox,2017,1
KA GL 1.0 MPI,2003,2
KA GL 1.0i Zetec Rocam,2004,1
KA+ SEDAN 1.0 TICVT FLEX,2019,3
POLO1.0 FLEX 12V,2019,2
Corsa Wind 1.0 MPF,2000,1
Courier 1.6 L Flex,2012,2
CLIO HATCH AUTHENTIQUE 1.0 16V,2013,2
Fit EX 1.5 Aut,2006,1
GOL 1.0 TOTAL FLEX (25 ANOS),2012,1
FOX PEPPER 1.6 FLEX 16V,2015,2
KA SEL 1.5 16V FLEX,2016,1
prisma,2019,1
ARGO,2021,1
9-160 E DELIVERY,2014,1
CLIO 1.0 16V HI-FLEX,2010,1
HR-V EXL 1.8 FLEXONE 16V   AUT,2020,1
ATEGO 3030 8X2 2P (DIESEL)(E5),2019,2
